Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.839 11855  133060907  133060907 1735.9545  1.0356
GlobalPlacement GP1     27.355 11855  100217755  104432254 1765.8227  1.1209
Legalization    LEG1    29.355 11855 4187332554 4314477594 5133.1226  4.6119
GlobalPlacement GP2     83.329 11855  466514423  599043458 2632.2066  1.8888
Legalization    LEG2    84.496 11855  675290446  820901296 2754.6975  1.9231
GlobalPlacement GP3    145.932 11855  546996434  677851124 2572.7805  1.7219
Legalization    LEG3   147.216 11855  740154899  884158319 2693.1832  1.7901
GlobalPlacement GP4    209.091 11855  565086782  679587501 2479.7813  1.7335
Legalization    LEG4   210.378 11855  760243824  889391426 2608.0278  1.7848
GlobalPlacement GP5    269.687 11855  598865736  708700732 2416.0334  1.5761
Legalization    LEG5   270.865 11855  785218755  909315255 2533.5811  1.6010
GlobalPlacement GP6    343.640 11855  589102563  698855420 2399.6538  1.4653
Legalization    LEG6   344.796 11855  788114999  913783289 2532.8686  1.5422
GlobalPlacement GP7    410.363 11855  663280079  765861912 2337.5577  1.5233
Legalization    LEG7   411.519 11855  870147218  989603918 2487.6289  1.6290
GlobalPlacement GP8    472.671 11855  674261600  771675372 2325.7297  1.3882
Legalization    LEG8   473.830 11855  883931728 1000207888 2491.7324  1.4758
GlobalPlacement GP9    526.435 11855  652439562  753210579 2351.7778  1.5050
Legalization    LEG9   527.606 11855  852943971  970824921 2504.3983  1.5958
Legalization    LEG    529.479 11855  870147218  989603918 2487.6289  1.6290
----------------------------------------------------------------------------
