Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     2.330 37117  293065916  293065916 3034.6295  2.9738
GlobalPlacement GP1    204.244 37117 1800565674 2220168474 5301.4627  4.9812
Legalization    LEG1   208.944 37117 2963420711 3533973644 5744.5052  5.4144
GlobalPlacement GP2    439.247 37117 1903658565 2349129176 5426.6156  5.1419
Legalization    LEG2   443.575 37117 3037098238 3622909517 5833.4152  5.5718
GlobalPlacement GP3    683.117 37117 2099667078 2551640374 5053.6564  4.8876
Legalization    LEG3   687.428 37117 2649249837 3158043975 5227.4399  4.9380
GlobalPlacement GP4    878.119 37117 2105739814 2542918495 4879.7113  4.2821
Legalization    LEG4   882.635 37117 3291239491 3881423142 5412.3542  4.7409
GlobalPlacement GP5   1086.388 37117 2269843810 2707711577 4859.2151  4.2938
Legalization    LEG5  1090.777 37117 3433297786 4027058048 5345.3542  4.7696
GlobalPlacement GP6   3707.382 37117 2358928072 2827470646 4993.7504  4.2713
Legalization    LEG6  3711.719 37117 3463127084 4073665347 5488.2097  4.9513
GlobalPlacement GP7   3895.352 37117 2353164085 2819650482 4971.1114  4.7057
Legalization    LEG7  3899.696 37117 3479639099 4094509333 5487.3419  5.1873
GlobalPlacement GP8   4088.238 37117 2400819833 2866644011 4958.3500  4.3154
Legalization    LEG8  4092.590 37117 3498736992 4105837275 5452.9891  4.7894
GlobalPlacement GP9   7932.882 37117 2895609332 3338074508 4762.7834  4.4711
Legalization    LEG9  7937.161 37117 3347322280 3846763454 4902.8343  4.4872
Legalization    LEG   7944.188 37117 3347322280 3846763454 4902.8343  4.4872
