Placement Flow Stages Table
StageName       Tag  Time(sec) Cells    HPWL(nm)     TWL(nm)    TNS(ns) WNS(ns)
-------------------------------------------------------------------------------
InitialState    INIT     5.598 92048   253295012   253295012  8838.4582  4.6467
GlobalPlacement GP1   3432.667 92048  4176420311  5210752851 15983.1808  7.4587
Legalization    LEG1  3443.920 92048  6968631091  8367525841 17307.5267  7.8132
GlobalPlacement GP2   5173.016 92048  6965973289  8121483317 17539.9034  8.5969
Legalization    LEG2  5184.540 92048  8293582009  9623925075 18095.1832  8.9685
GlobalPlacement GP3   6132.521 92048  7147940390  8283619685 16974.1400  7.2227
Legalization    LEG3  6143.758 92048  8464690472  9784066897 17519.7862  7.3519
GlobalPlacement GP4   7018.661 92048  8092252145  9206164598 16446.5607  7.2039
Legalization    LEG4  7029.914 92048  9382990420 10679707805 17062.5826  7.4303
GlobalPlacement GP5  13047.074 92048  8781256878  9840795834 17125.9567  8.0158
Legalization    LEG5 13059.530 92048 10517522015 11799794890 17994.2879  8.5468
GlobalPlacement GP6  13978.207 92048  9251893808 10376533709 16944.4720  7.6607
Legalization    LEG6 13990.716 92048 10437732127 11732182207 17547.7413  7.6941
GlobalPlacement GP7  14911.106 92048  9605994711 10696191353 15785.7359  7.8257
Legalization    LEG7 14923.154 92048 10614901755 11868806055 16329.4789  7.9016
GlobalPlacement GP8  15472.505 92048   689821756   727293954  9065.1527  3.9855
Legalization    LEG8 15496.654 92048 58559607776 61321248890 48682.3654 33.6616
GlobalPlacement GP9  16050.698 92048   784207324   830882623  9109.2275  4.0031
Legalization    LEG9 16074.336 92048 60877733359 63584086913 47627.4195 34.2891
Legalization    LEG  16094.055 92048 10614901755 11868806055 16329.4789  7.9016
-------------------------------------------------------------------------------
