Placement Flow Stages Table
StageName       Tag  Time(sec) Cells    HPWL(nm)     TWL(nm)   TNS(ns) WNS(ns)
------------------------------------------------------------------------------
InitialState    INIT     1.450 28317    89495542    89495542 1782.0506  3.0010
GlobalPlacement GP1    145.404 28317  1311353031  1494520539 2860.8124  4.9148
Legalization    LEG1   147.938 28317  1709299621  1919227141 2972.2519  4.9860
GlobalPlacement GP2    293.324 28317  1603689783  1801307449 2668.2845  4.7608
Legalization    LEG2   295.882 28317  1982844914  2205664874 2839.3519  5.1422
GlobalPlacement GP3    389.882 28317   199830575   212780212 1830.1654  3.0669
Legalization    LEG3   394.299 28317 11083808542 11364300622 8751.4059 18.3474
GlobalPlacement GP4    483.032 28317   166752597   175560756 1816.6709  3.0427
Legalization    LEG4   487.506 28317 11561183589 11895168999 8068.7617 18.8818
GlobalPlacement GP5   1533.878 28317  1898635436  2139079481 2730.4549  4.8375
Legalization    LEG5  1536.407 28317  2227198364  2488758014 2868.1415  5.0336
GlobalPlacement GP6   1638.241 28317   280670492   303735397 1850.1965  3.0863
Legalization    LEG6  1643.137 28317 11348479814 11677865024 8758.2768 19.0899
GlobalPlacement GP7   1739.290 28317   235179591   252266950 1835.5079  3.0627
Legalization    LEG7  1743.901 28317 11605413020 11955113030 8414.7269 19.0567
GlobalPlacement GP8   1833.469 28317   238175838   255704118 1837.5818  3.0738
Legalization    LEG8  1837.985 28317 11824674643 12164567713 8519.1408 18.4811
GlobalPlacement GP9   1913.946 28317   118648473   121158384 1790.8827  3.0112
Legalization    LEG9  1918.789 28317 11632567296 11960581356 7869.8859 16.3115
Legalization    LEG   1923.301 28317  1982844914  2205664874 2839.3519  5.1422
------------------------------------------------------------------------------
