Placement Flow Stages Table
StageName       Tag  Time(sec) Cells     HPWL(nm)      TWL(nm)    TNS(ns) WNS(ns)
---------------------------------------------------------------------------------
InitialState    INIT     4.815 98341    675483862    675483862  4587.6762  2.5935
GlobalPlacement GP1   1162.912 98341   5013764160   5331544380 11382.5319  7.7033
Legalization    LEG1  1172.462 98341   9577658117  10097579387 11892.5023  8.0252
GlobalPlacement GP2   2394.861 98341   6128686389   6387024661  8809.9412  5.9803
Legalization    LEG2  2403.989 98341  10578670643  11038149773  9356.3909  6.3522
GlobalPlacement GP3   4537.327 98341   6810465229   7081815417  8634.7386  5.3480
Legalization    LEG3  4546.034 98341  10959643105  11426029465  9176.3088  5.6362
GlobalPlacement GP4   5655.752 98341   7467399996   7738338275  8531.4267  5.5631
Legalization    LEG4  5664.644 98341  11281959182  11741443262  9035.8176  5.9341
GlobalPlacement GP5   6538.418 98341    964467941    968094228  3867.5301  2.1051
Legalization    LEG5  6557.330 98341 105276360248 106135825778 31582.7941 24.2947
GlobalPlacement GP6   7427.828 98341   1008427164   1015678489  3865.0112  2.1481
Legalization    LEG6  7446.099 98341 109067883510 109634098170 29966.8419 24.7885
GlobalPlacement GP7   8243.362 98341   1005523366   1010270255  3853.8649  2.1651
Legalization    LEG7  8261.625 98341 106182835517 106865556347 29838.7511 23.0686
GlobalPlacement GP8  41165.830 98341   7962804181   8286137502  8885.3737  5.5260
Legalization    LEG8 41176.222 98341  12385677720  12775031190 10015.1653  7.6473
GlobalPlacement GP9  42124.773 98341   1073696184   1081717542  3894.8383  2.3210
Legalization    LEG9 42143.131 98341 104813456104 105407440924 28637.2226 24.4593
Legalization    LEG  42156.803 98341  11281959182  11741443262  9035.8176  5.9341
---------------------------------------------------------------------------------
