Placement Flow Stages Table
StageName       Tag  Time(sec) Cells HPWL(nm)  TWL(nm) TNS(ns) WNS(ns)
----------------------------------------------------------------------
InitialState    INIT     0.300  1267  9913078  9913078 60.2226  1.1013
GlobalPlacement GP1     19.963  1267 36235951 42183409 78.0154  1.4365
Legalization    LEG1    20.114  1267 39050379 44967077 78.3411  1.4298
GlobalPlacement GP2     32.360  1267 42792975 48087567 73.9971  1.3868
Legalization    LEG2    32.459  1267 45034815 50356523 74.7357  1.4077
GlobalPlacement GP3     44.368  1267 44678484 49637985 72.9642  1.3270
Legalization    LEG3    44.490  1267 46742279 51772469 73.4505  1.3364
GlobalPlacement GP4     57.125  1267 46406378 51208906 71.0996  1.2542
Legalization    LEG4    57.231  1267 48420723 53389203 71.5462  1.2619
GlobalPlacement GP5     70.056  1267 49714477 54791189 70.8550  1.2829
Legalization    LEG5    70.154  1267 51858290 57126410 71.8014  1.3156
GlobalPlacement GP6     83.250  1267 50178247 54431068 70.1364  1.2497
Legalization    LEG6    83.347  1267 52738427 57134357 70.9523  1.2674
GlobalPlacement GP7     97.346  1267 52094353 57007211 69.8556  1.2264
Legalization    LEG7    97.444  1267 54424051 59445237 70.7588  1.2461
GlobalPlacement GP8    109.848  1267 54188056 59231709 69.2833  1.2265
Legalization    LEG8   109.946  1267 56488850 61625960 70.2513  1.2540
GlobalPlacement GP9    122.025  1267 54297160 59018667 69.4966  1.2426
Legalization    LEG9   122.122  1267 56347747 61116907 70.3168  1.2706
Legalization    LEG    122.285  1267 56488850 61625960 70.2513  1.2540
----------------------------------------------------------------------
