Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.538  7161   45310568   45310568  822.7624  2.6126
GlobalPlacement GP1     19.932  7161   44114721   46366893  846.4978  2.7007
Legalization    LEG1    20.882  7161 1688491714 1794800773 2400.9557  8.1016
GlobalPlacement GP2     87.027  7161  352429723  406904673 1361.0262  4.2007
Legalization    LEG2    87.738  7161  381789799  438422290 1368.7455  4.2458
GlobalPlacement GP3    116.784  7161  439161767  501943392 1270.6269  4.1990
Legalization    LEG3   117.490  7161  514103519  585067999 1322.0182  4.3647
GlobalPlacement GP4    182.593  7161  428579508  484474152 1194.1017  3.7678
Legalization    LEG4   183.338  7161  465715414  524855991 1224.3324  3.8515
GlobalPlacement GP5    286.570  7161  473326367  527369810 1200.3514  3.7646
Legalization    LEG5   287.368  7161  496271266  552208189 1213.4844  3.7859
GlobalPlacement GP6    330.938  7161  475080645  530500573 1139.6731  3.4202
Legalization    LEG6   331.660  7161  514896552  573617412 1167.7173  3.5365
GlobalPlacement GP7    347.494  7161   62994523   66969925  844.4339  2.6749
Legalization    LEG7   348.453  7161 1619123518 1734957994 2159.6962  7.3392
GlobalPlacement GP8    397.753  7161  500220427  559316364 1154.2588  3.5516
Legalization    LEG8   398.633  7161  529721370  591467455 1182.6877  3.6759
GlobalPlacement GP9    464.057  7161  514710041  568471470 1175.5747  3.6397
Legalization    LEG9   464.833  7161  548024680  605408409 1211.2091  3.7942
Legalization    LEG    466.021  7161  514896552  573617412 1167.7173  3.5365
----------------------------------------------------------------------------
