Placement Flow Stages Table
StageName       Tag  Time(sec) Cells    HPWL(nm)     TWL(nm)    TNS(ns) WNS(ns)
-------------------------------------------------------------------------------
InitialState    INIT     3.898 92048   253017812   253017812  8838.4204  4.6467
GlobalPlacement GP1    495.251 92048  4246139676  5294515563 15604.6983  6.5600
Legalization    LEG1   496.090 92048  4754073010  5851831540 15747.5111  6.7371
GlobalPlacement GP2   1230.210 92048  5935513749  6837400319 13788.5813  5.7564
Legalization    LEG2  1231.016 92048  6442529076  7416623281 14096.7888  5.8362
GlobalPlacement GP3   1738.432 92048  6814885816  7711177635 12993.5419  5.4247
Legalization    LEG3  1739.214 92048  7363167832  8336550682 13370.6352  5.6197
GlobalPlacement GP4   2007.585 92048  1652248993  1748788138  9722.1026  4.3813
Legalization    LEG4  2010.033 92048 52618291953 54981184417 42180.4375 24.7416
GlobalPlacement GP5   2278.290 92048  1804218643  1920545268  9839.1404  4.2758
Legalization    LEG5  2280.687 92048 49154473151 51640690555 39942.4382 25.4586
GlobalPlacement GP6   2544.219 92048  1500768917  1588245303  9551.8690  4.3420
Legalization    LEG6  2546.703 92048 49795348764 52141947806 39377.0438 28.8874
GlobalPlacement GP7   2798.191 92048  1171816273  1228140369  9418.3365  4.1050
Legalization    LEG7  2800.913 92048 54410802999 56522516952 43280.9105 30.2096
GlobalPlacement GP8   3087.752 92048  1657524890  1759226862  9767.3847  4.8398
Legalization    LEG8  3090.203 92048 52050473515 54377952109 41562.4003 26.5254
GlobalPlacement GP9   3338.432 92048  1327815436  1393474753  9552.1541  4.9228
Legalization    LEG9  3341.001 92048 50137574280 52467796538 40951.4117 29.9224
Legalization    LEG   3344.136 92048  7363167832  8336550682 13370.6352  5.6197
-------------------------------------------------------------------------------
