Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     1.247 28317   89495542   89495542 1782.0506  3.0010
GlobalPlacement GP1    102.163 28317 1421656565 1608299587 2872.6220  5.0320
Legalization    LEG1   102.319 28317 1553182770 1748066580 2910.2250  5.0548
GlobalPlacement GP2    273.939 28317 1706160354 1888971080 2446.0470  4.1640
Legalization    LEG2   274.102 28317 1897496294 2096649974 2542.7529  4.3350
GlobalPlacement GP3    404.560 28317 2035087021 2231457495 2494.7476  4.5501
Legalization    LEG3   404.720 28317 2173494816 2381983866 2584.5119  4.7273
GlobalPlacement GP4    535.206 28317 2124443750 2321115433 2459.8621  4.3999
Legalization    LEG4   535.367 28317 2279832001 2489467471 2564.1166  4.4770
GlobalPlacement GP5    666.345 28317 2244661476 2443333048 2408.1598  4.4023
Legalization    LEG5   666.520 28317 2430341476 2641600876 2530.1225  4.6114
GlobalPlacement GP6    797.769 28317 2354630515 2549714624 2407.9086  4.0246
Legalization    LEG6   797.931 28317 2503319326 2710453726 2514.4933  4.2813
GlobalPlacement GP7    887.922 28317 2481157818 2684201262 2407.7374  4.5235
Legalization    LEG7   888.085 28317 2637090001 2851066291 2494.0403  4.7094
GlobalPlacement GP8    977.687 28317 2547690019 2746151609 2387.0201  3.8758
Legalization    LEG8   977.853 28317 2717324899 2923594369 2494.3387  4.0736
GlobalPlacement GP9   1067.683 28317 2579213067 2778619651 2351.3589  4.0006
Legalization    LEG9  1067.847 28317 2768658136 2980922716 2468.3727  4.2275
Legalization    LEG   1068.489 28317 2768658136 2980922716 2468.3727  4.2275
----------------------------------------------------------------------------
