Placement Flow Stages Table
StageName       Tag  Time(sec) Cells     HPWL(nm)      TWL(nm)    TNS(ns) WNS(ns)
---------------------------------------------------------------------------------
InitialState    INIT     3.760 98341    675483863    675483863  4587.6762  2.5935
GlobalPlacement GP1    414.287 98341   4937143770   5244977228 10952.7601  7.3568
Legalization    LEG1   414.919 98341   8614885325   9100331165 11275.3914  7.4189
GlobalPlacement GP2    963.868 98341   6367830233   6651225120  7440.0739  4.7512
Legalization    LEG2   964.452 98341   6861084175   7174139335  7536.8258  4.8049
GlobalPlacement GP3   1420.945 98341   6753175985   7018076467  7134.7788  4.1497
Legalization    LEG3  1421.489 98341   7395525306   7696922886  7217.4582  4.1796
GlobalPlacement GP4   1748.834 98341   1327727110   1341601754  3987.6928  2.0055
Legalization    LEG4  1751.246 98341 101232603210 101802596370 30055.9133 27.5034
GlobalPlacement GP5   2188.425 98341   6546997408   6765652396  6350.1069  3.5060
Legalization    LEG5  2189.025 98341   7552738783   7817492833  6533.6302  3.6129
GlobalPlacement GP6   2517.261 98341   1361460590   1374219892  3972.6042  1.9807
Legalization    LEG6  2519.761 98341 101296545664 101751660214 28446.4566 21.5722
GlobalPlacement GP7   2853.158 98341   1404448292   1417564341  3987.5957  1.9792
Legalization    LEG7  2855.553 98341 100962834617 101407452197 28582.2727 23.9347
GlobalPlacement GP8   3183.845 98341   1394404880   1407707098  3989.9642  1.9779
Legalization    LEG8  3186.280 98341  99598864718 100053901058 28775.4453 24.4308
GlobalPlacement GP9   3524.171 98341   1401593250   1414771655  3991.4120  1.9835
Legalization    LEG9  3526.586 98341 101594219361 102033969111 28173.1468 23.6271
Legalization    LEG   3528.883 98341   7552738783   7817492833  6533.6302  3.6129
---------------------------------------------------------------------------------
