Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.659  7161   45310568   45310568  822.7624  2.6126
GlobalPlacement GP1     19.965  7161  108529983  117756814  958.8085  3.0777
Legalization    LEG1    20.030  7161 1228219674 1307286506 1972.8420  7.0598
GlobalPlacement GP2     63.970  7161  350164428  406234234 1339.6158  4.4691
Legalization    LEG2    64.016  7161  401302351  463027871 1369.8599  4.5181
GlobalPlacement GP3     89.182  7161  438813492  494141795 1171.4916  3.6738
Legalization    LEG3    89.227  7161  481198766  541925997 1204.9675  3.7848
GlobalPlacement GP4    119.396  7161  490558632  540956636 1148.8654  3.7926
Legalization    LEG4   119.443  7161  539115981  595103699 1197.8844  3.9035
GlobalPlacement GP5    161.134  7161  514121168  562821756 1166.8762  3.6566
Legalization    LEG5   161.180  7161  560259702  614339069 1216.0453  3.8141
GlobalPlacement GP6    185.517  7161  539605967  590884751 1162.7398  3.6416
Legalization    LEG6   185.563  7161  575717263  633020074 1202.1638  3.7578
GlobalPlacement GP7    195.109  7161  105414219  111941936  863.7553  2.6958
Legalization    LEG7   195.186  7161 1578791108 1686907200 2070.0865  7.2662
GlobalPlacement GP8    218.290  7161  568119707  622208496 1152.2133  3.6521
Legalization    LEG8   218.335  7161  600334432  659785926 1182.9122  3.7668
GlobalPlacement GP9    237.984  7161  576364286  629914450 1157.8215  3.7214
Legalization    LEG9   238.027  7161  616445544  676625955 1196.1044  3.8308
Legalization    LEG    238.217  7161  600334432  659785926 1182.9122  3.7668
----------------------------------------------------------------------------
