Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     1.195 11855  133060907  133060907 1735.9545  1.0356
GlobalPlacement GP1     37.893 11855  100217755  104432254 1765.8227  1.1209
Legalization    LEG1    40.454 11855 4187332554 4314477594 5133.1226  4.6119
GlobalPlacement GP2    115.971 11855  447256542  576482640 2565.6155  1.9986
Legalization    LEG2   117.519 11855  668059993  810220351 2698.0992  2.1129
GlobalPlacement GP3    192.764 11855  445508319  573077234 2540.3741  1.9914
Legalization    LEG3   194.351 11855  683044249  824866369 2686.3392  2.0261
GlobalPlacement GP4    243.779 11855  115117740  121968717 1770.8499  1.1085
Legalization    LEG4   246.274 11855 3912916255 4026010225 4808.9433  3.9753
GlobalPlacement GP5    298.307 11855  115136118  121619327 1770.4607  1.1163
Legalization    LEG5   300.798 11855 4035254897 4146975077 4731.2978  3.8161
GlobalPlacement GP6    349.259 11855  115487951  121829342 1770.5316  1.1098
Legalization    LEG6   351.747 11855 3875541351 3989918361 4816.4140  3.8806
GlobalPlacement GP7    399.647 11855  114746115  121144020 1768.7572  1.1138
Legalization    LEG7   402.179 11855 3877673198 3988095158 4819.1935  4.1180
GlobalPlacement GP8    448.120 11855  108764724  113361199 1758.2084  1.0921
Legalization    LEG8   450.686 11855 4081902467 4194499023 4889.4993  4.7902
GlobalPlacement GP9    528.689 11855  479024098  610679519 2596.1917  2.1545
Legalization    LEG9   530.176 11855  674610846  816636246 2709.8429  2.2000
Legalization    LEG    539.185 11855  683044249  824866369 2686.3392  2.0261
----------------------------------------------------------------------------
