Placement Flow Stages Table
StageName       Tag  Time(sec) Cells    HPWL(nm)     TWL(nm)    TNS(ns) WNS(ns)
-------------------------------------------------------------------------------
InitialState    INIT     3.326 37117   293065916   293065916  3034.6295  2.9738
GlobalPlacement GP1    329.000 37117  1800565674  2220168474  5301.4627  4.9812
Legalization    LEG1   335.146 37117  2963420711  3533973644  5744.5052  5.4144
GlobalPlacement GP2    781.616 37117  1847747711  2323120672  5435.0858  5.5337
Legalization    LEG2   787.550 37117  2382692181  2907986999  5570.9152  5.6765
GlobalPlacement GP3   1141.468 37117  1044837150  1236004864  4102.9381  3.5569
Legalization    LEG3  1148.764 37117  6093024309  6655545579  6898.0878  7.6903
GlobalPlacement GP4   1511.544 37117  1931971567  2376481746  5494.6486  5.1108
Legalization    LEG4  1518.506 37117  3028891324  3616942409  5900.1930  5.4232
GlobalPlacement GP5   1908.738 37117  1949834653  2402221652  5534.4872  5.2385
Legalization    LEG5  1915.832 37117  3062974223  3655734079  5919.5565  5.6590
GlobalPlacement GP6   2352.723 37117   272712729   290925931  3036.7485  2.6111
Legalization    LEG6  2359.908 37117 21075933076 21686172949 14585.4363 17.1328
GlobalPlacement GP7   2759.252 37117  1943763931  2378814031  5448.0838  5.2759
Legalization    LEG7  2766.219 37117  3104384733  3690794900  5855.5360  5.7131
GlobalPlacement GP8   3266.442 37117  1877426640  2322705280  5357.6956  5.1444
Legalization    LEG8  3273.230 37117  2407240786  2900671738  5486.4739  5.3719
GlobalPlacement GP9   3691.440 37117  1938349842  2374669422  5520.4916  5.6569
Legalization    LEG9  3698.421 37117  3026641478  3604539295  5911.3752  6.0518
Legalization    LEG   3774.668 37117  2407240786  2900671738  5486.4739  5.3719
-------------------------------------------------------------------------------
