Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     2.002 28317   89495542   89495542 1782.0506  3.0010
GlobalPlacement GP1    209.033 28317 1311353031 1494520539 2860.8124  4.9148
Legalization    LEG1   212.408 28317 1709299621 1919227141 2972.2519  4.9860
GlobalPlacement GP2    448.154 28317 1430526245 1629465753 3001.9864  4.9798
Legalization    LEG2   451.492 28317 1723765866 1940123436 3089.3886  5.1087
GlobalPlacement GP3    691.195 28317 1429878133 1617045304 2940.3268  4.9491
Legalization    LEG3   694.531 28317 1716207286 1921845136 3040.0628  5.1360
GlobalPlacement GP4    932.392 28317 1312047642 1483092629 2820.3072  5.1232
Legalization    LEG4   935.753 28317 1714687861 1913544541 2973.1568  5.2602
GlobalPlacement GP5   1182.662 28317 1434243304 1634007957 2990.9335  5.0234
Legalization    LEG5  1186.098 28317 1721795513 1939542053 3062.0933  5.1288
GlobalPlacement GP6   1449.790 28317 1433451236 1639211510 3008.6433  4.9912
Legalization    LEG6  1453.278 28317 1722631865 1947131855 3100.9889  5.1246
GlobalPlacement GP7   1718.858 28317 1440814706 1638587013 2986.4139  4.9475
Legalization    LEG7  1722.245 28317 1732627964 1948297154 3076.7277  5.0813
GlobalPlacement GP8   1976.526 28317 1441084650 1636455300 2977.4656  4.8829
Legalization    LEG8  1979.956 28317 1734648554 1949819114 3070.1495  5.0865
GlobalPlacement GP9   2279.185 28317 1447931429 1648873747 2966.0582  4.9145
Legalization    LEG9  2282.879 28317 1746180613 1967221543 3052.1450  5.0415
Legalization    LEG   2318.110 28317 1709299621 1919227141 2972.2519  4.9860
----------------------------------------------------------------------------
