Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)    TNS(ns) WNS(ns)
-----------------------------------------------------------------------------
InitialState    INIT     4.951 46771  640490719  640490719 23786.3450 38.3934
GlobalPlacement GP1    522.218 46771 3752257440 5734728031 53057.0257 51.7519
Legalization    LEG1   531.870 46771 5746249980 7885116210 56845.8161 61.2099
GlobalPlacement GP2   1166.763 46771 3577954937 5528420827 59945.5954 56.7871
Legalization    LEG2  1176.499 46771 4870717771 6940157818 62196.5155 62.4057
GlobalPlacement GP3   1914.053 46771 3787316179 5812042010 63049.4749 58.0542
Legalization    LEG3  1923.657 46771 4850402432 6962637539 65006.5126 60.9099
GlobalPlacement GP4   2516.696 46771 4019440112 6184844550 57341.0858 54.6248
Legalization    LEG4  2526.236 46771 5967461888 8303703284 61325.4812 57.8014
GlobalPlacement GP5   3176.715 46771 4103981756 6234762691 56799.6365 53.0516
Legalization    LEG5  3185.114 46771 5954457626 8252059599 60116.1811 56.4953
GlobalPlacement GP6   3712.114 46771 4148248229 6188610626 60256.8480 57.5876
Legalization    LEG6  3720.366 46771 5192662436 7324224825 61483.3617 59.9334
GlobalPlacement GP7  23759.648 46771 4815442766 7013300725 61643.6238 58.7172
Legalization    LEG7 23767.980 46771 6807704743 9197722249 65170.0148 59.6147
GlobalPlacement GP8  37399.263 46771 5025234505 7262609921 61043.2181 56.9981
Legalization    LEG8 37407.672 46771 6773311085 9192837572 63807.1930 57.7400
GlobalPlacement GP9  38106.776 46771 4386143996 6229018290 59641.1189 58.9217
Legalization    LEG9 38115.078 46771 5654562331 7608652015 61659.0144 61.4575
Legalization    LEG  38299.780 46771 5746249980 7885116210 56845.8161 61.2099
-----------------------------------------------------------------------------
