Placement Flow Stages Table
StageName       Tag  Time(sec) Cells HPWL(nm)  TWL(nm) TNS(ns) WNS(ns)
----------------------------------------------------------------------
InitialState    INIT     0.358  1267  9913078  9913078 60.2226  1.1013
GlobalPlacement GP1     19.466  1267 36235951 42183409 78.0154  1.4365
Legalization    LEG1    19.567  1267 39050379 44967077 78.3411  1.4298
GlobalPlacement GP2     40.712  1267 36144007 41911440 76.3502  1.4124
Legalization    LEG2    40.811  1267 38933724 44754264 76.8985  1.4366
GlobalPlacement GP3     57.883  1267 36174200 41724562 76.3534  1.4263
Legalization    LEG3    57.986  1267 39143304 44750004 76.8266  1.4279
GlobalPlacement GP4     70.775  1267 36218111 41623092 76.2846  1.4217
Legalization    LEG4    70.880  1267 40117809 45644272 77.1625  1.4298
GlobalPlacement GP5     85.884  1267 36328233 41296066 74.9160  1.3626
Legalization    LEG5    85.990  1267 39705545 44803715 75.7760  1.3764
GlobalPlacement GP6    101.568  1267 36653555 41774437 75.0705  1.3991
Legalization    LEG6   101.674  1267 39937367 45134867 75.7508  1.4013
GlobalPlacement GP7    115.683  1267 36920885 42324582 74.9641  1.3879
Legalization    LEG7   115.784  1267 40181044 45677370 75.7961  1.4155
GlobalPlacement GP8    131.621  1267 37138979 42230461 74.6700  1.3530
Legalization    LEG8   131.717  1267 41313220 46399840 75.4950  1.3692
GlobalPlacement GP9    145.422  1267 36633815 41561942 74.4121  1.3881
Legalization    LEG9   145.520  1267 40434908 45510638 75.4243  1.3957
Legalization    LEG    145.727  1267 40434908 45510638 75.4243  1.3957
----------------------------------------------------------------------
