Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.781  7161   45310568   45310568  822.7624  2.6126
GlobalPlacement GP1     27.328  7161   44114721   46366893  846.4978  2.7007
Legalization    LEG1    28.604  7161 1688491714 1794800773 2400.9557  8.1016
GlobalPlacement GP2     57.385  7161   48293504   51209864  854.0630  2.7099
Legalization    LEG2    58.563  7161 1776172416 1873378324 2376.5681  8.4296
GlobalPlacement GP3     94.586  7161   53833733   57539474  859.2212  2.7369
Legalization    LEG3    95.844  7161 1591376132 1688715884 2154.3168  7.2738
GlobalPlacement GP4    219.400  7161  318783632  372028003 1308.5059  4.1028
Legalization    LEG4   220.335  7161  358167642  414041890 1331.6647  4.1965
GlobalPlacement GP5    318.058  7161  311800883  363864277 1292.4594  4.0137
Legalization    LEG5   319.002  7161  360433681  414403799 1315.7541  4.1084
GlobalPlacement GP6    438.410  7161  337063651  388935142 1300.8624  4.1088
Legalization    LEG6   439.356  7161  362767392  415970189 1306.6562  4.0969
GlobalPlacement GP7    480.702  7161  331417725  381452879 1337.2176  4.4278
Legalization    LEG7   481.641  7161  420150509  480368540 1379.2033  4.5539
GlobalPlacement GP8    525.294  7161  332477444  383274372 1314.4582  4.4635
Legalization    LEG8   526.225  7161  420551761  480991591 1370.5951  4.6224
GlobalPlacement GP9    577.694  7161  337808679  389417356 1298.8796  4.1911
Legalization    LEG9   578.773  7161  422542311  483277821 1338.7228  4.2901
Legalization    LEG    582.583  7161  362767392  415970189 1306.6562  4.0969
----------------------------------------------------------------------------
