Placement Flow Stages Table
StageName       Tag  Time(sec) Cells     HPWL(nm)      TWL(nm)    TNS(ns) WNS(ns)
---------------------------------------------------------------------------------
InitialState    INIT     3.794 92048    253017812    253017812  8838.4204  4.6467
GlobalPlacement GP1    204.833 92048    136625185    137403001  8724.5887  4.0648
Legalization    LEG1   208.176 92048  96056222842 101451789172 71665.0525 46.7665
GlobalPlacement GP2    557.212 92048    133082969    133812932  8720.8921  4.0541
Legalization    LEG2   560.557 92048  95613443542 100928101586 72201.6096 41.9441
GlobalPlacement GP3    913.950 92048    140897876    141870554  8732.5799  4.1364
Legalization    LEG3   917.310 92048 101490079798 107462296502 78512.0944 48.0575
GlobalPlacement GP4   1265.911 92048    138347241    139229175  8729.0965  4.1167
Legalization    LEG4  1269.371 92048  99445047028 105332848288 78306.1260 46.6270
GlobalPlacement GP5   1614.070 92048    130469411    131138492  8718.5337  4.0745
Legalization    LEG5  1617.437 92048  95590812232 100969447912 71968.0754 52.4451
GlobalPlacement GP6   1961.589 92048    137165668    137968950  8726.5355  4.0985
Legalization    LEG6  1964.975 92048  99966342932 105720417756 77177.8680 42.3510
GlobalPlacement GP7   2311.272 92048    136165941    137001653  8728.6773  4.0956
Legalization    LEG7  2314.631 92048  96419074105 101803912883 75044.7684 48.9999
GlobalPlacement GP8   2659.984 92048    134765512    135641677  8727.0351  4.0865
Legalization    LEG8  2663.334 92048  97110575035 102521908559 72954.4371 49.7873
GlobalPlacement GP9   3001.566 92048    127118374    127750878  8717.4987  4.0085
Legalization    LEG9  3005.002 92048  98313791707 103796373427 75410.7886 52.9496
GlobalPlacement GP    3342.405 92048    126515674    127080426  8716.3109  3.9871
Legalization    LEG   3345.782 92048  97981784782 103614945708 74098.4772 43.4146
---------------------------------------------------------------------------------
