Placement Flow Stages Table
StageName       Tag  Time(sec) Cells    HPWL(nm)     TWL(nm)    TNS(ns) WNS(ns)
-------------------------------------------------------------------------------
InitialState    INIT     1.260 28317    89495542    89495542  1782.0506  3.0010
GlobalPlacement GP1     23.566 28317    58087326    58587524  1782.1917  3.0055
Legalization    LEG1    24.213 28317 17058206040 17642830740 10925.3290 23.2483
GlobalPlacement GP2     52.888 28317    61932824    62942637  1786.0034  3.0075
Legalization    LEG2    53.518 28317 17101780272 17720256702 11929.9977 24.7231
GlobalPlacement GP3     84.359 28317    64032808    65106965  1787.9211  3.0160
Legalization    LEG3    84.965 28317 16157110502 16707202682 11503.3413 26.9934
GlobalPlacement GP4    109.556 28317    63527753    63951745  1773.6636  3.0003
Legalization    LEG4   110.133 28317 16503465917 17227837037 11139.1892 24.3787
GlobalPlacement GP5    134.504 28317    62793415    63163815  1771.9726  2.9993
Legalization    LEG5   135.089 28317 17442369273 18219769083 11008.8733 24.0397
GlobalPlacement GP6    159.297 28317    62542239    62914571  1772.4083  2.9979
Legalization    LEG6   159.884 28317 16951965430 17686833190 11250.3491 26.2259
GlobalPlacement GP7    189.580 28317    66224786    67452186  1788.9436  3.0247
Legalization    LEG7   190.170 28317 17098167606 17742298566 11522.5549 24.5950
GlobalPlacement GP8    215.467 28317    62065825    62424497  1773.1184  2.9981
Legalization    LEG8   216.052 28317 16990368287 17747627867 11180.0185 23.9244
GlobalPlacement GP9    241.162 28317    62118613    62487308  1772.6340  2.9982
Legalization    LEG9   241.748 28317 17363635556 18128314526 11083.5151 25.4822
GlobalPlacement GP     267.586 28317    61425573    61770800  1771.4263  2.9978
Legalization    LEG    268.175 28317 17754224908 18547837948 11294.1109 24.0629
-------------------------------------------------------------------------------
