Placement Flow Stages Table
StageName       Tag  Time(sec) Cells  HPWL(nm)   TWL(nm)  TNS(ns) WNS(ns)
-------------------------------------------------------------------------
InitialState    INIT     0.406  1267   9913079   9913079  60.2256  1.1013
GlobalPlacement GP1      0.787  1267   7088418   7271891  60.5734  1.1339
Legalization    LEG1     0.798  1267 187795107 196906127 129.6043  2.3690
GlobalPlacement GP2      1.307  1267   6459845   6568010  60.0721  1.1033
Legalization    LEG2     1.318  1267 200921356 208815007 132.1326  2.6647
GlobalPlacement GP3      1.770  1267   6488173   6589709  60.0218  1.1019
Legalization    LEG3     1.780  1267 202048055 210284444 137.2453  2.5247
GlobalPlacement GP4      2.477  1267   6697995   6800126  60.0428  1.1015
Legalization    LEG4     2.487  1267 202869641 211028766 136.0042  2.8214
GlobalPlacement GP5      2.870  1267   7709710   7797515  59.7170  1.1008
Legalization    LEG5     2.880  1267 192511719 202302874 126.7926  2.4333
GlobalPlacement GP6      3.579  1267   7654020   7738443  59.6878  1.1002
Legalization    LEG6     3.589  1267 190926072 200377277 127.4196  2.5513
GlobalPlacement GP7      4.056  1267   7521207   7608260  59.7372  1.1001
Legalization    LEG7     4.065  1267 192538136 202208075 128.2149  2.3704
GlobalPlacement GP8      4.540  1267   7647146   7728967  59.6816  1.1001
Legalization    LEG8     4.549  1267 192627432 202627982 125.0320  2.3239
GlobalPlacement GP9      5.245  1267   7629455   7710542  59.6815  1.0997
Legalization    LEG9     5.254  1267 193096382 202771155 131.1170  2.4399
GlobalPlacement GP       5.725  1267   7674409   7755943  59.6836  1.0996
Legalization    LEG      5.735  1267 194278419 204676917 126.1215  2.4016
-------------------------------------------------------------------------
