Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.715 11855  133060907  133060907 1735.9545  1.0356
GlobalPlacement GP1     34.683 11855  477687801  589266749 2540.6437  1.8358
Legalization    LEG1    34.752 11855  602635485  723239925 2603.7071  1.8284
GlobalPlacement GP2     88.125 11855  613531202  723619813 2588.0391  1.7450
Legalization    LEG2    88.194 11855  722672103  839954763 2643.5257  1.7602
GlobalPlacement GP3    130.535 11855  805792829  906645531 2607.8666  2.1593
Legalization    LEG3   130.607 11855  882954003  989913933 2655.5352  2.2092
GlobalPlacement GP4    166.407 11855  520958053  590962782 2265.6872  1.4433
Legalization    LEG4   166.531 11855 1649820851 1779969400 3150.7510  2.4278
GlobalPlacement GP5    218.911 11855  817637840  911320622 2499.4883  1.6880
Legalization    LEG5   218.978 11855  891774706  991712426 2551.8559  1.7216
GlobalPlacement GP6    252.385 11855  656269920  737659997 2435.4525  1.6471
Legalization    LEG6   252.463 11855  948238046 1065427646 2645.9898  1.7956
GlobalPlacement GP7    288.291 11855  652402308  739178319 2382.6959  1.5068
Legalization    LEG7   288.366 11855  941613699 1059951699 2583.3947  1.5598
GlobalPlacement GP8    326.040 11855  663134830  742922303 2339.6195  1.5467
Legalization    LEG8   326.120 11855  979598648 1097967338 2571.0731  1.6181
GlobalPlacement GP9    354.386 11855  765150698  843537624 2334.6122  1.5257
Legalization    LEG9   354.463 11855 1076316927 1194542067 2577.6357  1.5706
Legalization    LEG    354.770 11855  891774706  991712426 2551.8559  1.7216
----------------------------------------------------------------------------
