Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.962 18718   68722240   68722240 1230.9219  2.9216
GlobalPlacement GP1     96.548 18718  926308705 1049632971 2018.9901  5.1975
Legalization    LEG1    96.656 18718 1035874601 1167893411 2051.3104  5.3252
GlobalPlacement GP2    187.026 18718 1122138726 1251244088 1747.7956  4.4434
Legalization    LEG2   187.134 18718 1234527903 1371246573 1797.9976  4.5379
GlobalPlacement GP3    291.365 18718 1393125197 1529041431 1768.5379  4.3923
Legalization    LEG3   291.472 18718 1474644283 1618045783 1812.3416  4.4575
GlobalPlacement GP4    395.037 18718 1553607671 1694309094 1758.6056  4.5770
Legalization    LEG4   395.146 18718 1644196878 1792300931 1805.0922  4.7400
GlobalPlacement GP5    487.159 18718 1633083553 1774109566 1725.2044  4.2095
Legalization    LEG5   487.265 18718 1720727561 1869469781 1770.8186  4.2575
GlobalPlacement GP6    514.222 18718  251384302  266008212 1281.1375  3.0334
Legalization    LEG6   514.495 18718 5518211253 5721615940 4446.7783 13.0071
GlobalPlacement GP7    542.011 18718  247449420  261676413 1280.1248  3.0355
Legalization    LEG7   542.289 18718 5573371803 5786856191 4259.8623 13.8603
GlobalPlacement GP8    724.211 18718 1670181948 1798240318 1677.1064  4.2969
Legalization    LEG8   724.317 18718 1796871465 1933016925 1767.0278  4.6973
GlobalPlacement GP9    750.989 18718  255735639  270267505 1283.9375  3.0379
Legalization    LEG9   751.265 18718 5552784845 5776707282 4314.8961 12.1287
Legalization    LEG    751.681 18718 1796871465 1933016925 1767.0278  4.6973
----------------------------------------------------------------------------
