Placement Flow Stages Table
StageName       Tag  Time(sec) Cells HPWL(nm)  TWL(nm) TNS(ns) WNS(ns)
----------------------------------------------------------------------
InitialState    INIT     0.810  1267  9913079  9913079 60.2226  1.1013
GlobalPlacement GP1     13.051  1267 36233968 41703345 77.1011  1.4321
Legalization    LEG1    13.058  1267 41348543 47388863 78.3642  1.4436
GlobalPlacement GP2     22.261  1267 45950515 50705834 75.8229  1.4002
Legalization    LEG2    22.267  1267 50037753 55194239 76.8740  1.4231
GlobalPlacement GP3     32.881  1267 49956053 54814379 72.5156  1.3191
Legalization    LEG3    32.888  1267 53578653 58687383 73.5500  1.3431
GlobalPlacement GP4     41.071  1267 49676096 53947203 69.6442  1.2370
Legalization    LEG4    41.078  1267 56975825 61708025 72.3694  1.3042
GlobalPlacement GP5     48.033  1267 56039410 60696314 71.5744  1.2678
Legalization    LEG5    48.040  1267 59557971 64587171 72.8483  1.2902
GlobalPlacement GP6     56.875  1267 55904956 60713993 69.8800  1.2378
Legalization    LEG6    56.881  1267 59172333 64210678 71.3989  1.2546
GlobalPlacement GP7     62.815  1267 59359975 63773855 69.7228  1.2412
Legalization    LEG7    62.822  1267 62710399 67471073 71.3429  1.2754
GlobalPlacement GP8     70.258  1267 53874923 57578183 68.2638  1.2195
Legalization    LEG8    70.265  1267 62119990 66259745 70.8849  1.3060
GlobalPlacement GP9     79.184  1267 54590129 58498443 68.3187  1.2172
Legalization    LEG9    79.191  1267 62572301 67003211 70.7366  1.2681
Legalization    LEG     79.236  1267 62572301 67003211 70.7366  1.2681
----------------------------------------------------------------------
