Placement Flow Stages Table
StageName       Tag  Time(sec) Cells    HPWL(nm)     TWL(nm)    TNS(ns) WNS(ns)
-------------------------------------------------------------------------------
InitialState    INIT     1.679 37117   293065916   293065916  3034.6398  2.9738
GlobalPlacement GP1     42.660 37117   154211486   156713541  2916.9559  2.5603
Legalization    LEG1    43.081 37117 25276930589 26478534738 18814.6534 27.2394
GlobalPlacement GP2    105.423 37117   150734703   153001212  2910.1567  2.5604
Legalization    LEG2   105.854 37117 24975580536 26186948672 18209.8994 26.0791
GlobalPlacement GP3    163.197 37117   151166578   153283018  2907.7473  2.5591
Legalization    LEG3   163.610 37117 25969245217 27352407147 19426.9576 26.4167
GlobalPlacement GP4    219.988 37117   149745138   151724331  2905.0907  2.5597
Legalization    LEG4   220.401 37117 25771251918 27121842215 19927.8798 28.1524
GlobalPlacement GP5    278.231 37117   149224174   151532677  2903.9450  2.5602
Legalization    LEG5   278.644 37117 25358294358 26720631835 19501.4905 28.4065
GlobalPlacement GP6    335.514 37117   147404209   149421649  2902.0945  2.5589
Legalization    LEG6   335.958 37117 26067248063 27500240222 19031.0843 25.8258
GlobalPlacement GP7    392.381 37117   147984614   150206568  2905.5590  2.5590
Legalization    LEG7   392.810 37117 26056701379 27507915274 18968.7504 21.9157
GlobalPlacement GP8    449.502 37117   146340824   148543593  2901.2607  2.5608
Legalization    LEG8   449.913 37117 26432277830 27895755156 19567.8018 25.2312
GlobalPlacement GP9    506.838 37117   144177511   145795410  2898.4599  2.5576
Legalization    LEG9   507.248 37117 25542403461 26868216141 19565.7607 24.7425
GlobalPlacement GP     564.225 37117   146791653   148593841  2899.8943  2.5607
Legalization    LEG    564.644 37117 26066357935 27467898697 18809.1763 23.5677
-------------------------------------------------------------------------------
