Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)     TWL(nm)   TNS(ns) WNS(ns)
-----------------------------------------------------------------------------
InitialState    INIT     0.968 18718   68722240    68722240 1230.9219  2.9216
GlobalPlacement GP1     11.952 18718   49486417    50012366 1230.4282  2.9374
Legalization    LEG1    12.307 18718 9022175391  9347556658 6294.6463 19.3909
GlobalPlacement GP2     28.416 18718   47755703    48189132 1228.8954  2.9299
Legalization    LEG2    28.769 18718 8496477795  8764396811 5956.0648 17.8871
GlobalPlacement GP3     39.955 18718   52429476    52820892 1223.5051  2.9265
Legalization    LEG3    40.282 18718 9216929276  9624384215 6295.6036 17.7199
GlobalPlacement GP4     51.502 18718   51444533    51785749 1222.5156  2.9235
Legalization    LEG4    51.828 18718 9267990717  9700921453 6555.4652 19.0911
GlobalPlacement GP5     62.988 18718   50645664    50956264 1221.8092  2.9216
Legalization    LEG5    63.316 18718 9286121894  9718164409 6245.7449 18.0551
GlobalPlacement GP6     74.568 18718   50119030    50406647 1221.3248  2.9202
Legalization    LEG6    74.895 18718 9728494501 10193750026 6469.7860 18.4130
GlobalPlacement GP7     86.081 18718   49705527    49978556 1221.1215  2.9198
Legalization    LEG7    86.409 18718 9684626296 10155760781 6536.8086 18.6353
GlobalPlacement GP8     97.683 18718   49442215    49728596 1221.0158  2.9209
Legalization    LEG8    98.011 18718 9853016727 10334665480 6426.5370 18.9256
GlobalPlacement GP9    109.340 18718   48897602    49153241 1220.8355  2.9204
Legalization    LEG9   109.669 18718 9877246823 10349355745 6462.8898 19.0428
GlobalPlacement GP     120.973 18718   49005773    49275741 1220.8690  2.9200
Legalization    LEG    121.305 18718 9678626252 10136786564 6476.2796 17.7856
-----------------------------------------------------------------------------
