Placement Flow Stages Table
StageName       Tag  Time(sec) Cells   HPWL(nm)    TWL(nm)   TNS(ns) WNS(ns)
----------------------------------------------------------------------------
InitialState    INIT     0.604  7161   45310568   45310568  822.7644  2.6126
GlobalPlacement GP1      3.577  7161   27637861   28475802  831.0310  2.6302
Legalization    LEG1     3.632  7161 2586174078 2769941178 3325.1744 12.6126
GlobalPlacement GP2      7.552  7161   25884214   26575993  826.3105  2.6220
Legalization    LEG2     7.607  7161 2678586596 2867522816 3310.6709 12.9079
GlobalPlacement GP3     12.220  7161   24842099   25401517  824.4905  2.6179
Legalization    LEG3    12.275  7161 2659715230 2846798798 3255.8518 11.9298
GlobalPlacement GP4     16.876  7161   24259714   24749162  823.7710  2.6177
Legalization    LEG4    16.931  7161 2749005798 2956403017 3466.2072 13.0413
GlobalPlacement GP5     20.864  7161   23931339   24372297  822.9740  2.6172
Legalization    LEG5    20.917  7161 2756854159 2970458343 3405.5183 12.6234
GlobalPlacement GP6     24.659  7161   23644782   24041340  822.4076  2.6173
Legalization    LEG6    24.711  7161 2745117393 2957817603 3253.5138 12.0832
GlobalPlacement GP7     29.046  7161   23373419   23738101  821.8688  2.6136
Legalization    LEG7    29.099  7161 2673855586 2864559769 3255.1941 12.1103
GlobalPlacement GP8     33.637  7161   23545671   23932620  822.0062  2.6143
Legalization    LEG8    33.692  7161 2889391663 3118108641 3495.7676 14.0126
GlobalPlacement GP9     38.065  7161   23337474   23703000  821.3545  2.6102
Legalization    LEG9    38.118  7161 2828422909 3051655920 3515.8162 13.2108
GlobalPlacement GP      42.408  7161   23025284   23341376  820.4945  2.6077
Legalization    LEG     42.463  7161 2713600650 2914583468 3382.0298 12.5752
----------------------------------------------------------------------------
